Sr.No,Ib (mA),Vb(mv),T1,T2,Normalizarion 100,Inc Volt,Normalization 80,
213,635,8270,30,30,1.584335999,5980,1.346694656,98.6533144
214,635,8270,30,30,1.591809282,5980,1.353046989,98.64696211
215,635,8270,30,30,1.599282565,5980,1.359399322,98.64060982
216,635,8270,30,30,1.606755848,5980,1.365751656,98.63425753
217,635,8270,30,30,1.614229131,5990,1.372103989,98.62790524
218,635,8270,30,30,1.621702414,5990,1.378456322,98.62155295
219,640,8270,30,30,1.629175697,5990,1.384808656,98.61520066
220,640,8270,30,30,1.63664898,6000,1.391160989,98.60884837
221,635,8270,30,30,1.644122263,6000,1.397513322,98.60249608
222,635,8270,30,30,1.651595546,6000,1.403865655,98.59614379
223,635,8270,30,30,1.659068829,6000,1.410217989,98.5897915
224,635,8270,30,30,1.666542112,6000,1.416570322,98.5834392
225,635,8270,30,30,1.674015395,6000,1.422922655,98.57708691
226,635,8270,30,30,1.681488678,6010,1.429274988,98.57073462
227,630,8270,30,30,1.688961961,6010,1.435627322,98.56438233
228,630,8270,30,30,1.696435244,6010,1.441979655,98.55803004
229,630,8270,30,30,1.703908527,6010,1.448331988,98.55167775
230,630,8270,30,30,1.71138181,6010,1.454684322,98.54532546
231,635,8270,30,30,1.718855093,6010,1.461036655,98.53897317
232,635,8270,30,30,1.726328376,6010,1.467388988,98.53262088
233,630,8270,30,30,1.733801659,6020,1.473741321,98.52626859
234,635,8270,30,30,1.741274942,6020,1.480093655,98.5199163
235,640,8260,30,30,1.748748225,6020,1.486445988,98.51356401
236,635,8260,30,30,1.756221508,6020,1.492798321,98.50721172
237,635,8260,30,30,1.763694791,6020,1.499150655,98.50085943
238,635,8260,30,30,1.771168074,6020,1.505502988,98.49450714
239,630,8260,30,30,1.778641357,6020,1.511855321,98.48815485
240,635,8260,30,30,1.78611464,6050,1.518207654,98.48180256
241,635,8260,30,30,1.793587923,6050,1.524559988,98.47545027
242,635,8260,30,30,1.801061206,6050,1.530912321,98.46909797
243,635,8260,30,30,1.808534489,6050,1.537264654,98.46274568
244,640,8260,30,30,1.816007772,6050,1.543616988,98.45639339
245,640,8260,30,30,1.823481055,6050,1.549969321,98.4500411
246,635,8260,30,30,1.830954338,6050,1.556321654,98.44368881
247,635,8260,30,30,1.838427621,6060,1.562673987,98.43733652
248,635,8260,30,30,1.845900904,6060,1.569026321,98.43098423
249,635,8260,30,30,1.853374187,6060,1.575378654,98.42463194
250,630,8260,30,30,1.86084747,6060,1.581730987,98.41827965
251,630,8260,30,30,1.868320753,6060,1.588083321,98.41192736
252,635,8260,30,30,1.875794036,6060,1.594435654,98.40557507
253,635,8260,30,30,1.883267319,6070,1.600787987,98.39922278
254,635,8260,30,30,1.890740602,6070,1.60714032,98.39287049
255,635,8260,30,30,1.898213885,6070,1.613492654,98.3865182
256,640,8260,30,30,1.905687168,6070,1.619844987,98.38016591
257,630,8260,30,30,1.913160451,6070,1.62619732,98.37381362
258,635,8260,30,30,1.920633734,6070,1.632549654,98.36746133
259,635,8260,30,30,1.928107017,6070,1.638901987,98.36110904
260,635,8260,30,30,1.9355803,6070,1.64525432,98.35475674
261,635,8260,30,30,1.943053583,6080,1.651606653,98.34840445
262,640,8250,30,30,1.950526866,6080,1.657958987,98.34205216
263,635,8250,30,30,1.958000149,6080,1.66431132,98.33569987
264,640,8250,30,30,1.965473432,6080,1.670663653,98.32934758
265,635,8250,30,30,1.972946715,6080,1.677015986,98.32299529
266,635,8250,30,30,1.980419999,6080,1.68336832,98.316643
267,635,8250,30,30,1.987893282,6090,1.689720653,98.31029071
268,635,8250,30,30,1.995366565,6090,1.696072986,98.30393842
269,635,8250,30,30,2.002839848,6090,1.70242532,98.29758613
270,640,8250,30,30,2.010313131,6090,1.708777653,98.29123384
271,635,8250,30,30,2.017786414,6090,1.715129986,98.28488155
272,635,8250,30,30,2.025259697,6100,1.721482319,98.27852926
273,635,8250,30,30,2.03273298,6100,1.727834653,98.27217697
274,635,8250,30,30,2.040206263,6100,1.734186986,98.26582468
275,635,8250,30,30,2.047679546,6100,1.740539319,98.25947239
276,645,8250,30,30,2.055152829,6100,1.746891653,98.2531201
277,640,8250,30,30,2.062626112,6100,1.753243986,98.24676781
278,635,8250,30,30,2.070099395,6100,1.759596319,98.24041551
279,635,8250,30,30,2.077572678,6100,1.765948652,98.23406322
280,640,8250,30,30,2.085045961,6110,1.772300986,98.22771093
281,640,8250,30,30,2.092519244,6110,1.778653319,98.22135864
282,635,8250,30,30,2.099992527,6110,1.785005652,98.21500635
283,645,8250,30,30,2.10746581,6110,1.791357986,98.20865406
284,635,8250,30,30,2.114939093,6110,1.797710319,98.20230177
285,630,8250,30,30,2.122412376,6110,1.804062652,98.19594948
286,635,8250,30,30,2.129885659,6120,1.810414985,98.18959719
287,635,8250,30,30,2.137358942,6120,1.816767319,98.1832449
288,635,8250,30,30,2.144832225,6130,1.823119652,98.17689261
289,635,8240,30,30,2.152305508,6140,1.829471985,98.17054032
290,640,8240,30,30,2.159778791,6140,1.835824319,98.16418803
291,630,8250,30,30,2.167252074,6160,1.842176652,98.15783574
292,635,8250,30,30,2.174725357,6160,1.848528985,98.15148345
293,635,8240,30,30,2.18219864,6160,1.854881318,98.14513116
294,635,8250,30,30,2.189671923,6160,1.861233652,98.13877887
295,635,8240,30,30,2.197145206,6160,1.867585985,98.13242657
296,635,8240,30,30,2.204618489,6170,1.873938318,98.12607428
297,635,8240,30,30,2.212091772,6170,1.880290652,98.11972199
298,635,8240,30,30,2.219565055,6170,1.886642985,98.1133697
299,635,8240,30,30,2.227038338,6170,1.892995318,98.10701741
300,630,8240,30,30,2.234511621,6170,1.899347651,98.10066512
301,630,8240,30,30,2.241984904,6170,1.905699985,98.09431283
302,630,8240,30,30,2.249458187,6170,1.912052318,98.08796054
303,635,8240,30,30,2.25693147,6180,1.918404651,98.08160825
304,630,8240,30,30,2.264404753,6180,1.924756984,98.07525596
305,635,8240,30,30,2.271878036,6180,1.931109318,98.06890367
306,630,8240,30,30,2.279351319,6180,1.937461651,98.06255138
307,640,8240,30,30,2.286824602,6180,1.943813984,98.05619909
308,635,8240,30,30,2.294297885,6180,1.950166318,98.0498468
309,635,8240,30,30,2.301771168,6180,1.956518651,98.04349451
310,635,8240,30,30,2.309244451,6190,1.962870984,98.03714222
311,635,8240,30,30,2.316717734,6190,1.969223317,98.03078993
312,635,8240,30,30,2.324191017,6190,1.975575651,98.02443764
313,635,8240,30,30,2.3316643,6190,1.981927984,98.01808534
314,635,8240,30,30,2.339137583,6190,1.988280317,98.01173305
315,630,8240,30,30,2.346610866,6190,1.994632651,98.00538076
316,640,8240,30,30,2.354084149,6200,2.000984984,97.99902847
317,635,8240,30,30,2.361557432,6200,2.007337317,97.99267618
318,630,8240,30,30,2.369030715,6200,2.01368965,97.98632389
319,630,8240,30,30,2.376503998,6200,2.020041984,97.9799716
320,635,8240,30,30,2.383977281,6200,2.026394317,97.97361931
321,635,8240,30,30,2.391450564,6200,2.03274665,97.96726702
322,635,8230,30,30,2.398923847,6200,2.039098984,97.96091473
323,635,8240,30,30,2.40639713,6210,2.045451317,97.95456244
324,635,8240,30,30,2.413870413,6210,2.05180365,97.94821015
325,635,8230,30,30,2.421343696,6210,2.058155983,97.94185786
326,635,8230,30,30,2.428816979,6210,2.064508317,97.93550557
327,635,8230,30,30,2.436290262,6210,2.07086065,97.92915328
328,635,8230,30,30,2.443763545,6210,2.077212983,97.92280099
329,635,8230,30,30,2.451236828,6210,2.083565317,97.9164487
330,635,8230,30,30,2.458710111,6210,2.08991765,97.91009641
331,635,8230,30,30,2.466183394,6220,2.096269983,97.90374411
